title,body_parts,equipment,difficulty,link,video_id
BARBELL DEADLIFT,"Quadriceps, Glutes, Hamstrings, Groin",Barbell,Intermediate,https://www.nasm.org/exercise-library/barbell-deadlift,Z6gcRfPNcZo
KETTLEBELL DEADLIFT,"Quadriceps, Hamstrings, Groin, Glutes",Kettlebell,Beginner,https://www.nasm.org/exercise-library/kettlebell-deadlift,LnIMaf-XOpM
DUMBBELL ROMANIAN DEADLIFT,"Hamstrings, Groin, Glutes",Dumbbells,Intermediate,https://www.nasm.org/exercise-library/dumbbell-romanian-deadlift,V8Hdl1FiNt4
LYING LEG CURL,"Hamstrings, Calves",Lying Leg Curl Machine,Beginner,https://www.nasm.org/exercise-library/lying-leg-curl,Dq5y4WEcqqo
BARBELL BICEP CURL,Biceps,Barbell,Beginner,https://www.nasm.org/exercise-library/barbell-bicep-curl,pQfJR-sSIvA
FLOOR BRIDGE,"Core, Glutes, Groin",None,Beginner,https://www.nasm.org/exercise-library/floor-bridge,Z3cY3d3BBo4
FLOOR PRONE COBRA,"Upper Back, Shoulders",None,Beginner,https://www.nasm.org/exercise-library/floor-prone-cobra,keErJXdp2lE
GOOD MORNINGS,"Hamstrings, Groin, Glutes",Barbell,Intermediate,https://www.nasm.org/exercise-library/good-mornings,Daq-wJMUnes
SIDE PLANK,Abdominals,None,Beginner,https://www.nasm.org/exercise-library/side-plank,44ND4bOB-T0
PLANK,Abdominals,None,Beginner,https://www.nasm.org/exercise-library/plank,mwlp75MS6Rg
PLANK WALKUP,Abdominals,None,Intermediate,https://www.nasm.org/exercise-library/plank-walkup,6Tv4xTRPtUc
STRAIGHT-ARM PLANK,Abdominals,None,Beginner,https://www.nasm.org/exercise-library/straight-arm-plank,MDxfAuBbHHA
PRISONER SQUAT,"Thighs, Glutes, Calves",None,Beginner,https://www.nasm.org/exercise-library/prisoner-squat,UYbsgiiZgao
SQUAT JUMP,Full Body,None,Intermediate,https://www.nasm.org/exercise-library/squat-jump,tZSYZdtbONc
BULGARIAN SPLIT SQUAT,"Quadriceps, Glutes, Groin","Bench, Dumbbells",Intermediate,https://www.nasm.org/exercise-library/bulgarian-split-squat,hbw7hdyOpq0
GOBLET SQUAT,"Quadriceps, Groin, Glutes",Kettlebell,Beginner,https://www.nasm.org/exercise-library/goblet-squat,nfX7IFK9UNI
DUMBBELL FRONT SQUAT,"Quadriceps, Groin, Glutes",Dumbbells,Beginner,https://www.nasm.org/exercise-library/dumbbell-front-squat,hZI8Yy5elZs
SQUAT THRUST (BURPEES),Full Body,None,Advanced,https://www.nasm.org/exercise-library/squat-thrust,Ny8JWqh4lNg
KETTLEBELL FRONT SQUAT,"Thighs, Quadriceps, Groin, Glutes",Kettlebell,Beginner,https://www.nasm.org/exercise-library/kettlebell-front-squat,-TeEMXoHQPM
BIRD DOG,"Core, Erector Spinae, Multifidi",None,Beginner,https://www.nasm.org/exercise-library/bird-dog,ZdAHe9_HeEw
PULL-UP,"Back, Latissimus Dorsi, Rhomboids, Traps, Shoulders, Posterior Deltoids, Arms, Brachialis",Pull-Up Bar,Intermediate,https://www.nasm.org/exercise-library/pull-up,9yVGh3XbJ34
BAND ASSISTED PULL-UP,"Back, Latissimus Dorsi, Rhomboids, Traps, Shoulders, Posterior Deltoids, Arms, Brachialis","Pull-Up Bar, Band or Tube",Intermediate,https://www.nasm.org/exercise-library/band-assisted-pull-up,B_VkNQS5YLs
ROMANIAN DEADLIFT (BARBELL),"Thighs, Hamstrings, Groin, Glutes","Barbell, Plates",Intermediate,https://www.nasm.org/exercise-library/romanian-deadlift-barbell,xgusDooVfKU
RUSSIAN TWIST,"Core, Obliques, Glutes",Stability Ball,Intermediate,https://www.nasm.org/exercise-library/russian-twist,s0kT80JLCfA
REVERSE CRUNCH TO KNEE-UP WITH ROTATION,"Core, Rectus Abdominis, Obliques, Back, Latissimus Dorsi",Bench,Intermediate,https://www.nasm.org/exercise-library/reverse-crunch-to-knee-up-with-rotation,wtKWBzDwfIM
PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",None,Beginner,https://www.nasm.org/exercise-library/push-up,WDIpL0pjun0
PLYOMETRIC PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",None,Intermediate,https://www.nasm.org/exercise-library/plyometric-push-up,MH4gcTKQiEc
PIKE PUSH-UP,"Shoulders, Anterior Deltoids, Deltoids, Traps, Triceps",None,Intermediate,https://www.nasm.org/exercise-library/pike-push-up,2b5t0Cu2nQI
INVERTED PUSH-UP,"Shoulders, Anterior Deltoids, Deltoids, Traps, Triceps",Box or Step,Intermediate,https://www.nasm.org/exercise-library/inverted-push-up,h45WmYKSJG0
DECLINE PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",Bench,Intermediate,https://www.nasm.org/exercise-library/decline-push-up,DBz85WuXqMk
INCLINE PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",Bench,Beginner,https://www.nasm.org/exercise-library/incline-push-up,0JUrOH--Kdk
ARCHER PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",Medicine Ball,Advanced,https://www.nasm.org/exercise-library/archer-push-up,IDu6pRAPChg
MODIFIED PUSH-UP,"Chest, Shoulders, Anterior Deltoids, Triceps",None,Beginner,https://www.nasm.org/exercise-library/modified-push-up,PDr5B2jLUOw
LEG PRESS CALF RAISE,Calves,Leg Press Machine,Beginner,https://www.nasm.org/exercise-library/leg-press-calf-raise,8k435cj30gc
JUMPING JACKS,Full Body,None,Beginner,https://www.nasm.org/exercise-library/jumping-jacks,uLVt6u15L98
LEG PRESS,"Thighs, Quadriceps, Glutes, Groin",Leg Press Machine,Beginner,https://www.nasm.org/exercise-library/leg-press,cDGOn-yfKJA
SINGLE LEG PRESS,"Thighs, Quadriceps, Glutes, Groin",Leg Press Machine,Beginner,https://www.nasm.org/exercise-library/single-leg-press,3aYsOsBA7ZE
BOX JUMPS,"Glutes, Thighs, Hamstrings, Quadriceps, Calves",Box or Step,Intermediate,https://www.nasm.org/exercise-library/box-jumps,DXu-8TAJwi4
IRON CROSS,"Back, Erector Spinae, Glutes, Medius, Chest",None,Intermediate,https://www.nasm.org/exercise-library/iron-cross,uBEXsoMclPY
KETTLEBELL CRUSH CURL WITH SQUAT,"Arms, Brachialis, Biceps",Kettlebell,Beginner,https://www.nasm.org/exercise-library/kettlebell-crush-curl-with-squat,BPGOyQKy9R0
FACE PULL,"Shoulders, Back, Arms","Cable Machine, Rope",Beginner,https://www.nasm.org/exercise-library/face-pull,eTCBSFlCJ_s
CABLE CROSSOVER,"Chest, Shoulders, Anterior Deltoids",Cable Machine,Beginner,https://www.nasm.org/exercise-library/cable-crossover,XY6JrX1wyxk
STANDING TUBING ROW,"Upper Back, Mid Back",Band or Tube,Beginner,https://www.nasm.org/exercise-library/standing-tubing-row,qykwviNOIyc
